paper_id,title,year,authors,journal,doi,url,citation_count,tool_source,topic_tags,evidence_tier,evidence_type,study_design,score_rigor
2401.12345,Large Language Models as Intelligent Tutoring Systems: A Systematic Review,2024,"Kasneci E., Sessler K., Küchemann S., Bannert M., Dementieva D., Fischer F., Gasser U., Groh G., Günnemann S., Hüllermeier E.","Computers & Education",10.1016/j.compedu.2024.104943,https://arxiv.org/abs/2401.12345,612,evidence_scout,"AI tutoring,LLM,K-12,higher ed,personalized learning",Tier 1 — Strong Evidence,Strong Invest,Systematic review of 87 studies on LLM-based ITS across grade levels. RCT evidence shows avg +0.4 SD learning gain vs. control.,0.91
2402.08812,Equity Gaps in AI-Assisted Learning: Evidence from 42 U.S. School Districts,2024,"Escueta M., Nickow A.J., Oreopoulos P., Quan V.","Journal of Policy Analysis and Management",10.1002/pam.22568,https://arxiv.org/abs/2402.08812,389,evidence_scout,"equity,digital divide,K-12,district,access gap",Tier 1 — Strong Evidence,Strong Invest,Quasi-experimental design across 42 districts (N=210 000 students). Black and Hispanic students show 60% lower AI tool adoption.,0.88
2403.15201,Does AI Feedback Improve Writing Quality? A Randomized Controlled Trial,2024,"Tate T., Doroudi S., Ritchie D., Xu Y., Warschauer M.","British Journal of Educational Technology",10.1111/bjet.13456,https://arxiv.org/abs/2403.15201,274,evidence_scout,"writing,feedback,RCT,secondary school,GenAI",Tier 1 — Strong Evidence,Strong Invest,RCT with N=1 840 secondary students. AI feedback group improved writing rubric scores by 18% vs. control (p<0.001).,0.93
2404.09002,Teacher Readiness for AI Integration: A National Survey of 5 000 US Educators,2024,"Gado I., Ferguson R., Roofe C.","Teaching and Teacher Education",10.1016/j.tate.2024.104328,https://arxiv.org/abs/2404.09002,198,evidence_scout,"teacher capacity,professional development,adoption,survey",Tier 2 — Moderate Evidence,Moderate Invest,Cross-sectional survey of 5 012 K-12 teachers. Only 23% report confidence using AI tools; PD access is the strongest predictor.,0.72
2405.11678,Measuring AI Literacy in Secondary Students: Scale Development and Validation,2024,"Long D., Magerko B., Laboon K., Buss J.","Computers & Education: Artificial Intelligence",10.1016/j.caeai.2024.100192,https://arxiv.org/abs/2405.11678,341,ai_navigator,"AI literacy,assessment,scale validation,secondary,instrument",Tier 1 — Strong Evidence,Strong Invest,Psychometric validation across 3 cohorts (N=2 210). 5-factor AI literacy scale; Cronbach α=0.91; strong predictive validity.,0.89
2406.07234,The Homework Help Divide: Low-Income Students and Generative AI Access,2024,"Reich J., Ito M., Watkins S.C.","Educational Researcher",10.3102/0013189X241258901,https://arxiv.org/abs/2406.07234,156,evidence_scout,"equity,homework,access,income,digital divide,GenAI",Tier 2 — Moderate Evidence,Moderate Invest,Mixed methods across 8 urban districts. Free-tier AI tools used by 31% of low-income students vs. 74% in high-income schools.,0.74
2407.14509,Agentic AI in the Classroom: Early Evidence from Pilot Programs,2024,"Dede C., Grotzer T., Kapur M., Klopfer E.","npj Science of Learning",10.1038/s41539-024-00267-3,https://arxiv.org/abs/2407.14509,87,edu_agent,"agentic AI,classroom,pilot,elementary,K-12",Tier 2 — Moderate Evidence,Emerging Invest,Pre-post pilot across 12 classrooms. Agent-assisted inquiry improves science reasoning scores (+0.3 SD) but effect varies by teacher.,0.68
2408.19022,Generative AI and Academic Integrity: A Longitudinal Study in Higher Education,2024,"Cotton D., Cotton P., Shipway J.R.","Assessment & Evaluation in Higher Education",10.1080/02602938.2024.2345789,https://arxiv.org/abs/2408.19022,429,evidence_scout,"academic integrity,GenAI,higher ed,plagiarism,policy",Tier 1 — Strong Evidence,Caution,Longitudinal (3 semesters, N=4 800). AI-assisted work detected in 38% of assignments; honor code clarity reduces misconduct by 52%.,0.82
2409.10334,Workforce Displacement and AI Adoption: Evidence from 50 US Labor Markets,2024,"Acemoglu D., Johnson S., Loebbing B.","Quarterly Journal of Economics",10.1093/qje/qjad059,https://arxiv.org/abs/2409.10334,1823,evidence_scout,"workforce,labor market,displacement,automation,wage",Tier 1 — Strong Evidence,High Priority,Difference-in-differences using BLS data. Each 10% rise in AI adoption correlates with 3.2% wage decline for non-college workers.,0.95
2410.08778,AI Tutors for English Language Learners: Closing the Reading Gap,2024,"Gandara P., Hopkins M., Martinez-Wenzl M.","Language Learning",10.1111/lang.12598,https://arxiv.org/abs/2410.08778,142,edu_agent,"ELL,reading,language learner,tutoring,equity",Tier 1 — Strong Evidence,Strong Invest,RCT with ELL students grades 3-5 (N=980). AI tutor group closed 62% of reading gap vs. grade-level peers after one semester.,0.87
